identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0006301173;TROUILLET 85 SAS;79065068300010;ZI Route de Niort, 10 allée du Pont Noget;85200;FONTENAY-LE-COMTE;VENDEE;PAYS-DE-LA-LOIRE;409192.000000;6602127.000000;2154;2920Z;Fabrication de carrosseries et remorques;;
0005205384;SIRMET;43238332100044;Zone industrielle de Boulazac, Avenue Henri Deluc;24750;BOULAZAC;DORDOGNE;NOUVELLE-AQUITAINE;525152.000000;6455676.000000;2154;3832Z;Récupération de déchets triés;;
0006600227;SARL CARRIERES DE LA 113;97705015200049;MONT GRAND, MONTREDON et BIZANET;11100;MONTREDON-DES-CORBIERES;AUDE;OCCITANIE;692435.000000;6228852.000000;2154;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0006302402;AYROLES COURAIS;48183503100016;ZA du Bois de Monts;49680;VIVY;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;468356.000000;6697500.000000;2154;4520A;Entretien et réparation de véhicules automobiles légers;;
0018300699;CABM;24340076900093;Stockage, tri, compostage de déchets, Lieu-dit Jas de Vaches;34350;VENDRES;HERAULT;OCCITANIE;720651.000000;6240630.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0006802464;SOCIETE PORC MONTAGNE;39342235700011;Parc d'activité d'Arsac, 32 allée Durand de Gros;12850;SAINTE-RADEGONDE;AVEYRON;OCCITANIE;670646.000000;6362567.000000;2154;1011Z;Transformation et conservation de la viande de boucherie;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0006205655;AUTO-THIONVILLE Casse Auto;32297007000015;LIEU-DIT GRANDE SAISON, RUE DE LA DIGUE;57100;THIONVILLE;MOSELLE;GRAND-EST;929848.000000;6920564.000000;2154;4511Z;Commerce de voitures et de véhicules automobiles légers;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0006401338;GROUPE BIGARD;77622146700082;Z.A. de la Horsiere, BP1;13870;ROGNONAS;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE-D'AZUR;845673.000000;6312826.000000;2154;1011Z;Transformation et conservation de la viande de boucherie;;
0005801877;VAL LAQUAGE VT;43315444000021;chemin de la filature;76860;OUVILLE-LA-RIVIERE;SEINE-MARITIME;NORMANDIE;552973.000000;6976183.000000;2154;2313Z;Fabrication de verre creux;;
0005800385;UTC AEROSPACE SYSTEMS;44317723300048;43, rue des Prés;27950;SAINT-MARCEL;EURE;NORMANDIE;587326.000000;6890553.000000;27572;2651A;Fabrication d'équipements d'aide à la navigation;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0005701622;MUMM -CH MARS;56208412900021;29 rue du Champs de Mars;51050;REIMS;MARNE;GRAND-EST;775541.000000;6907584.000000;2154;1102A;Fabrication de vins effervescents;;
0006805756;AB7 INDUSTRIES;34920376000021;chemin des Monges, BP9;31450;DEYME;HAUTE-GARONNE;OCCITANIE;581431.000000;6266923.000000;2154;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;4.(d);Installations chimiques destinées à la fabrication industrielle de produits phytosanitaires et de biocides
0006200968;ESKA;55850281100323;Site Industriel Gandrange rue de l'Usine;57360;AMNEVILLE;MOSELLE;GRAND-EST;929420.000000;6912103.000000;2154;3832Z;Récupération de déchets triés;;
0050100313;SCEA ROBIN FERME DE LA RICHARDIERE;39360789000018;1125 B Route de LA  RICHARDIERE;01270;DOMSURE;AIN;AUVERGNE-RHONE-ALPES;875087.000000;6594184.000000;2154;0150Z;Culture et élevage associés;7.(a).(ii);disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
0006200831;ESSILOR INTERNATIONAL (Les Battants);71204961800101;Usine des Battants;55500;LIGNY-EN-BARROIS;MEUSE;GRAND-EST;870700.000000;6846327.000000;2154;3250B;Fabrication de lunettes;;
0006503162;STORENGY SA site de Beynes;54210765101696;Chemin de Fleubert;78650;BEYNES;YVELINES;ILE-DE-FRANCE;617542.000000;6861168.000000;2154;5210B;Entreposage et stockage non frigorifique;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
0006104560;AVENTICS;56211431400049;BP 37, ZI LES FOURMIS - 155 AV FAUCIGNY;74130;BONNEVILLE;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES;963915.000000;6558021.000000;27572;2812Z;Fabrication d'équipements hydrauliques et pneumatiques;;
0005900834;SAB THEVENIN;62568006100037;Aux Lignières, Route de Pontarlier;39300;EQUEVILLON;JURA;BOURGOGNE-FRANCHE-COMTE;923477.000000;6631783.000000;2154;2453Z;Fonderie de métaux légers;2.(e).(ii);destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux
0010800296;PASTEUR BERNARD ET FILS S.A.R.L.;33108945800029;Zone d'activités de l'aérodrome, 3 rue des Grands Bois;74100;VETRAZ-MONTHOUX;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES;952129.000000;6571327.000000;2154;3832Z;Récupération de déchets triés;;
0010100024;MYLAN Laboratories;44374815700049;site Maillard, route de Belleville - BP25;01400;CHATILLON-SUR-CHALARONNE;AIN;AUVERGNE-RHONE-ALPES;849996.000000;6559251.000000;2154;2120Z;Fabrication de préparations pharmaceutiques;4.(e);Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
0006302061;CASSE AUTO MANCELLE EURL;38418746400019;La Croix des Epinettes, Rue de Ruaudin;72560;CHANGE;SARTHE;PAYS-DE-LA-LOIRE;494183.000000;6766853.000000;4326;4520A;Entretien et réparation de véhicules automobiles légers;;
0010001378;ORRION CHEMICALS ORGAFORM;55201279100042;Le Pressoir Vert;45400;SEMOY;LOIRET;CENTRE;621900.000000;6760761.000000;4326;2059Z;Fabrication d'autres produits chimiques n.c.a.;4.(a).(ii);hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes
0005202263;SAS SOCIETE BENNES DALBY;38174319400015;Bousquet, RN 21;47340;SAINT-ANTOINE-DE-FICALBA;LOT-ET-GARONNE;NOUVELLE-AQUITAINE;517364.000000;6363378.000000;2154;2920Z;Fabrication de carrosseries et remorques;;
