identifiant;nom_etablissement;annee_rejet;rejet_raccorde_m3_par_an;rejet_isole_m3_par_an
0006206474;CERELIA VITTEL (ex EUROVITA);2020;938;
0006105225;ADISSEO FRANCE SAS;2020;;9304649
0010000968;DS SMITH PAPER COULLONS;2020;0;0
0007002239;SICOS;2020;38675;
0005501217;NESTLE PURINA PETCARE FRANCE (SAS);2020;37311;
0009000041;BA 702 Avord;2020;154666;
0005401263;DIM;2020;37626;
0005701562;MHCS - CUVERIE BERNON;2020;35025;
0012100040;MBF ALUMINIUM;2020;195;0
0010600002;BIOMERIEUX;2020;108342;
0009077701;Station d'épuration de Saint-Thibault-des-Vignes;2020;0;14899154
0006205682;ArcelorMittal France - Tôles Fines;2020;;471186
0006002907;DECHETTERIE (Couzeix Les Planchettes);2020;;3700
0006400367;VIRBAC 13;2020;38699;
0005101403;AXIMUM PRODUITS DE SECURITE;2020;;26395
0006802701;Centre Hospitalier de Bigorre;2020;99458;
0006301174;WILO FRANCE SAS;2020;13878;
0009075901;STEP - VILLENEUVE-D'ASCQ;2020;;7024516
0005106026;SUEZ Eau Industrielle (ex ONDEO IS);2020;;252164
0006400029;XPO TANK CLEANING SUD FR;2020;8517;
0006508769;GUINOT;2020;1482;
0005800489;METROPOLE ROUEN NORMANDIE;2020;;35953124
0010000679;GAULT ET FREMONT;2020;380;
0006510719;KALHYGE 1;2020;7568;
0006301913;NTN Transmissions Europe;2020;10406;
0005200136;TI Charentes-Périgord;2020;6745;
0007004733;MINAKEM DUNKERQUE PRODUCTION;2020;46641;
0007000711;SASA;2020;6202;
0022200018;BELLONIE BOURDILLON SUCCESSEURS;2020;0;0
0006700515;Burda Druck France (ex BRAUN);2020;9330;
0006100821;SCB;2020;0;
0010010029;ICT FRANCE SAS;2020;;323956
0025300101;MAISON JEAN LORON;2020;20727;
0006802883;SEPS;2020;0;195
0006104971;UNIFRAX FRANCE;2020;11082;
0007001070;NORDTOLE Conteneurs et Systèmes;2020;585;
0007200198;SABLIERES DE LA TARDOIRE;2020;0;0
0006606082;Carrière SARL PATEBEX Brasse Cournanel;2020;;1
0006807835;SMDVDMAT TRIFYL;2020;6262;
0005500274;CELLIERS ASSOCIES (LES);2020;3000;57889
0005801774;SMURFIT KAPPA FRANCE;2020;8079;
0005300062;GBN;2020;;160768
0006103636;BAYER SAS;2020;5989;184828
0006103725;Polytechnyl;2020;120780;9159882
0010001392;SAINT GOBAIN MATERIAUX CERAMIQUES;2020;357;
0007001140;BOULONNAIS (Comm. d'Agglo)-(ex SYNDIVAL);2020;;247036
0006503709;LCPP LABO CENTRAL PREF POLICE;2020;64;
0006302514;COM COM BAUGEOIS VALLEE  ex :SMICTOM;2020;;4899
0006503461;SEQENS Porcheville (ex PCAS);2020;9031;
0006300989;FLEURY MICHON LS;2020;102291;
0006405554;SA LAVAU MOURET;2020;0;0
0006302409;LES OEUFS GESLIN;2020;;77090
0006301423;LACTALIS NESTLE ULTRA-FRAIS MARQUES SA;2020;;270533
0006202229;PAPETERIES DE CLAIREFONTAINE;2020;;1381017
0006517193;SEMAVERT;2020;;8011
0005205960;GACHES CHIMIE;2020;;587
0056901142;L'EUROPEENNE D'EMBOUTEILLAGE;2020;126293;
0024700115;SMEVOM du Charolais-Brionnais et de l'Au;2020;6939;
0005305768;NAVAL GROUP (ex DCNS);2020;38813;
0006303220;HOWMET CIRAL ARCONIC;2020;5608;
0010004799;FAMAR L'Aigle;2020;34026;0
0007202158;SUEZ RV SUD OUEST (ex SITA);2020;;5460
0052501135;SOCIETE FROMAGERE DE VERCEL LACTALIS;2020;180232;
0006506565;CEMEX GRANULATS;2020;;144
0046900010;MERIAL;2020;175537;
0006400004;CEA CADARACHE;2020;;116620
0006400504;FLORETTE France GMS;2020;5769;329046
0006515481;WIPELEC;2020;165;
0007000473;BRIDGESTONE/FIRESTONE FRANCE SA;2020;10520;140129
0006700566;SENFA (ex-DHJ INTERNATIONAL);2020;1936;
0007004021;GALLOO France SA Lille;2020;3842;
0006104158;HCL - GROUPEMENT HOSPITALIER EST;2020;123531;
0005401066;TEFAL S.A;2020;;24631
0006806838;NUTRITION & SANTE;2020;12229;
0005601317;SOCIETE FROMAGERE DE RIOM;2020;;171052
0009000006;Atelier industriel de l'aéronautique de Bordeaux;2020;1349;
0006400155;UNION GRAP'SUD;2020;50600;
0010001145;ESSITY OPERATIONS FRANCE (ex TISSUE);2020;;1752032
0006103265;VICAT - PAPETERIES DE VIZILLE;2020;;1336832
0056700335;METZGER MULLER (La charcuterie);2020;11255;
0006802518;DAHER SOCATA;2020;7131;1437
0005600268;PEM;2020;;78609
0010000765;SYNTHRON;2020;;114316
0010006573;HUET SARL;2020;0;0
0005100494;NOVABION;2020;;57058
0006301801;COULEUR STONE SARL;2020;7670;
0006700455;TANNERIES HAAS;2020;12216;
0010008480;GIP Centre de Traitement Textile 28;2020;14725;
0006700724;CHALEUR HAUTEPIERRE;2020;2250;
0006300713;CARRIERES TAVANO SA;2020;;510250
0006304015;RIVAZUR CAKES;2020;;2141
0005102399;LEFRANT RUBCO;2020;;8903
0007101554;RECYCLAGE DE L'OUEST;2020;299;
0006700467;PSA Peugeot Citroën SNC Mulhouse;2020;333885;1970
0007005848;SYMEVAD;2020;28410;
0005800409;RENAULT S.N.C.;2020;;270556
0005602703;ALUK INDUSTRIES;2020;13079;
0005800528;CEMEX GRANULATS (Les Vallots + IT);2020;0;0
0006400876;Métropole Aix-Marseille Provence;2020;;484389
0053502445;SOCIETE FROMAGERE DE RETIERS;2020;;138116
0055601962;ENTREMONT SODIAAL SAS;2020;742807;
0007001555;CRUSTA C (SA);2020;63426;
0005902583;FACEL;2020;;9461
0010000902;BTG BOUTHEGOURD;2020;0;0
0005702066;SNCF VOYAGEURS (TECHNICENTRE INDUSTRIEL);2020;405;
0009073401;STEP - AGDE;2020;;3721258
0006400328;FIRMENICH GRASSE S.A.;2020;0;
0005802304;LUNOR DISTRIBUTION;2020;163;0
0053501402;SVELTIC;2020;0;100412
0025100025;COMAP PLASTIC INDUSTRIES;2020;;200810
0010000720;PPM CHIMIREC;2020;;9552
0005206327;Valor Béarn - SMTD (Précilhon);2020;;23280
0006502739;OUVRE FILS Sucrerie et Distillerie;2020;0;0
0007000728;AIR LIQUIDE FRANCE INDUSTRIE;2020;;270840
